fid;ID;CD_GEOCODM;NM_MUNICIP;CODIGO;V8Mo;V8d;V8;V1;V2;V3;V4;V5;V6;V7;I_V1;CL_V1;I_V2;CL_V2;I_V3;CL_V3;I_V4;CL_V4;I_V5;CL_V5;I_V6;CL_V6;I_V7;CL_V7;I_V8;CL_V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001;DM2001_2009;HM2001_2009;LTM2001_2009;CMD20012009;CMH20012009;CMLT20012009
36;394;5203575;BONÓPOLIS;5203575;2598;671;3,87;55,74;66,77;66,77;21,58;62,32;7,29;14,61;1,27387749;1;-0,124759447;0;1,275242319;0;0,303616586;0;0,511347233;0;0,073790674;0;0,279731973;0;0,510238644;1;13,66993961;24,63890041;26,91390443;Baixo;MuitoAlto;Hiperendem;37,7702;186,871;32,0198;Baixo;Hiperendemico;Hiperendemico
37;395;5203609;BRAZABRANTES;5203609;2772;809;3,43;33,37;84,43;21,63;17,31;40,47;1,6;5,07;0,015061058;0;0,253412497;0;0,710438181;2;0,035526868;0;0,012776559;0;0,549693777;0;0,048085294;0;-0,010410407;0;143,5314919;81,79102297;3,564157074;Medio;Hiperendem;Medio;48,5662;64,842;2,233;Baixo;Hiperendemico;Medio
38;396;5203807;BRITÂNIA;5203807;5279;1485;3,55;32,86;62,96;30,57;19,12;57,72;4,45;8,15;-0,016667895;0;-0,229272888;0;-0,024333563;0;0,077230183;0;0,199455418;0;0,051231778;0;-0,007678714;0;0,019538967;0;6,92133523;316,042183;2,296885563;Baixo;Hiperendem;Medio;20,7107;247,458;13,8436;Baixo;Hiperendemico;MuitoAlto
39;397;5203906;BURITI ALEGRE;5203906;8718;2892;3,01;20,02;71,65;16,39;15,44;21,9;4,77;5,12;0,399552976;0;0,011153642;0;0,944862253;2;0,418590456;2;1,028212218;0;0,179898214;0;0,298368455;0;0,324710736;0;37,87500861;47,23412965;1,555296353;Baixo;Hiperendem;Medio;38,6605;46,04;2,1156;Baixo;Hiperendemico;Medio
40;398;5203939;BURITI DE GOIÁS;5203939;2659;823;3,23;23,33;74,73;25,27;13,85;24,24;5,08;4,25;0,086061218;0;-0,004617179;0;-0,410052858;3;0,13963443;0;0,616296086;0;0,041203418;0;0,261031078;0;0,204477389;0;13,00128239;23,93234321;3,636817976;Baixo;MuitoAlto;Medio;83,3015;37,983;7,8125;Baixo;MuitoAlto;Alto
41;399;5203962;BURITINÓPOLIS;5203962;3383;780;4,34;27,56;57,56;57,82;32,75;79,64;36,71;34,74;0,35012341;2;0,299379668;0;2,063654456;1;5,184394351;1;2,464895347;1;6,411921195;1;5,486054071;1;1,829786885;1;10,57247662;38,52117723;3,155417518;Baixo;MuitoAlto;Medio;33,764;50,243;2,0155;Baixo;Hiperendemico;Medio
42;400;5204003;CABECEIRAS;5204003;6758;1805;3,74;30,08;88,37;46,65;19,41;71,33;10,67;13,96;0,222622723;0;0,431987355;0;-0,652078064;0;-0,120568578;0;1,109427352;0;0,600381595;0;1,360083267;0;0,438486705;0;5,491380801;13,28279458;1,905879278;Baixo;Alto;Medio;8,329;24,984;9,3616;Baixo;MuitoAlto;Alto
43;401;5204102;CACHOEIRA ALTA;5204102;8646;2674;3,23;34,29;37,14;31,94;16,86;33,53;4,44;7,7;-0,012228919;0;2,894076859;2;0,087227801;2;0,073359699;0;0,536347443;0;0,238440862;0;0,058220923;0;0,097014423;0;49,45558237;29,29097069;59,44343533;Baixo;MuitoAlto;Hiperendem;34,7206;38,124;22,0999;Baixo;MuitoAlto;Hiperendemico
44;402;5204201;CACHOEIRA DE GOIÁS;5204201;1498;462;3,24;20,78;65,37;22,94;20,16;42;4,94;8,87;-0,024488159;0;-0,168518325;0;-0,350247689;0;0,038165564;0;0,11002501;0;0,092329204;0;-0,04163068;4;0,215222637;0;22,24738173;31,64194343;5,023247683;Baixo;MuitoAlto;Alto;40,9157;34,11;3,3631;Baixo;MuitoAlto;Medio
45;403;5204250;CACHOEIRA DOURADA;5204250;8525;2509;3,4;28,62;62,61;14,79;18,36;32,64;9,34;11,4;0,135028835;0;0,264564525;0;0,962929721;0;0,002585587;0;0,418832438;0;-0,170348764;0;-0,08659032;0;0,033335636;0;233,5536468;20,42544858;11,36457562;Alto;MuitoAlto;MuitoAlto;404,9252;65,557;3,2895;MuitoAlto;Hiperendemico;Medio
46;404;5204300;CAÇU;5204300;10575;3160;3,35;28,07;44,37;26,52;14,57;41,12;2,73;2,78;0,234914764;0;2,220748554;2;0,218116062;0;0,119838116;0;0,216315752;0;0,262864034;0;0,159449219;0;0,063730439;0;22,26362323;71,91803926;50,45420201;Baixo;Hiperendem;Hiperendem;71,6306;40,77;22,0858;Baixo;Hiperendemico;Hiperendemico
47;405;5204409;CAIAPÔNIA;5204409;14673;4273;3,43;25,53;44;31,34;19,74;63,99;6,65;7,47;-0,116538766;0;0,484857083;0;-0,02553783;0;-0,001544585;0;-0,005431356;0;4,97774E-05;0;0,040642728;0;-0,001741367;0;9,258648085;71,59088501;13,13474859;Baixo;Hiperendem;MuitoAlto;115,9553;82,253;49,6831;Medio;Hiperendemico;Hiperendemico
48;406;5204508;CALDAS NOVAS;5204508;49660;14519;3,42;33,64;57,34;7,52;10,89;41,41;3,92;7,27;0,006601439;0;-0,155983345;0;0,725805676;0;1,324903012;2;0,516854015;2;0,405626996;2;0,187395204;2;0,029713491;0;57,33488954;29,42564067;3,967903084;Baixo;MuitoAlto;Medio;273,0632;48,385;4,4458;Alto;Hiperendemico;Medio
49;407;5204557;CALDAZINHA;5204557;2859;817;3,5;63,4;85,07;59,36;16,01;6,12;2,31;3,18;1,013492026;0;0,267034431;0;-0,27742296;0;0,160405311;0;2,254244073;2;0,402365283;0;0,212175629;0;0,004020014;0;43,12731383;41,66567022;3,445395338;Baixo;Hiperendem;Medio;251,8048;42,101;2,1397;Alto;Hiperendemico;Medio
50;408;5204607;CAMPESTRE DE GOIÁS;5204607;3167;779;4,07;33,25;86,52;29,78;22,15;39,47;5,24;6,68;-0,000885331;0;0,201819096;0;0,165304024;2;-0,393750906;0;0,042797087;0;0,116508008;0;0,12001312;0;0,149863312;0;125,4994887;39,56240069;143,4267475;Medio;MuitoAlto;Hiperendem;106,6885;77,449;50,0242;Medio;Hiperendemico;Hiperendemico
51;409;5204656;CAMPINAÇU;5204656;3707;1049;3,53;57,39;64,92;65,4;22,71;61,16;10,2;11,34;-0,296311549;0;0,00484606;0;-0,204461043;0;0,101754624;0;0,61861728;1;0,396612854;0;0,262756206;0;0,027228981;0;244,8348967;20,42250714;3,044176365;Alto;MuitoAlto;Medio;201,8232;69,547;122,4961;Alto;Hiperendemico;Hiperendemico
52;410;5204706;CAMPINORTE;5204706;9641;2753;3,5;38,69;87;36,94;18,6;53,8;6,29;9,04;0,092912138;0;-0,028940314;0;0,061774532;0;0,013637416;0;0,199514674;1;-0,037002558;0;0,033976692;0;0,00541859;0;980,4850257;75,95091295;36,08840601;MuitoAlto;Hiperendem;Hiperendem;232,471;60,303;24,9756;Alto;Hiperendemico;Hiperendemico
53;411;5204805;CAMPO ALEGRE DE GOIÁS;5204805;4528;1335;3,39;40,52;90,71;38,13;11,65;30,58;2,9;5,09;-0,556017139;4;-1,019757594;4;-0,249116954;0;1,497859059;2;0,992014524;0;0,704414647;2;0,471134888;0;0,031500303;0;8,114879753;17,68812555;2,597930854;Baixo;Alto;Medio;23,0533;26,865;3,0687;Baixo;MuitoAlto;Medio
