ID;CD_GEOCODM;NM_MUNICIP;V8Mo;V8d;V1;V2;V3;V4;V5;V6;V7;V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001
437;5207105;DIORAMA;2498;790;44.43;79.11;44.43;18.23;37.11;4.39;1.52;3.16;51.19069581;129.4203884;3.859918394;Baixo;Alto;Baixo
438;5207253;DOVERLÂNDIA;8558;2395;37.37;64.51;44.84;21.2;35.01;10.72;10.69;3.57;39.49209561;123.8710878;71.1133143;Baixo;Alto;Alto
439;5207352;EDEALINA;3803;1197;46.2;89.97;39.1;17.81;46.29;3.95;2.84;3.18;9.65114192;85.61657178;2.955501217;Baixo;Medio;Baixo
440;5207402;EDÉIA;10223;3084;33.14;93.61;23.67;15.19;39.94;2.24;1.65;3.31;79.18707359;33.19912927;1.342884023;Baixo;Baixo;Baixo
441;5207501;ESTRELA DO NORTE;3398;987;37.28;82.78;45.8;20.74;44.39;9.01;13.37;3.44;66.10771647;56.31381705;3.17827514;Baixo;Baixo;Baixo
442;5207535;FAINA;7419;2088;51.34;72.8;56.23;23.05;60;5.23;11.02;3.55;18.3197411;33.25027321;23.86231676;Baixo;Baixo;Medio
443;5207600;FAZENDA NOVA;7093;2265;37.75;82.83;55.54;16.79;53.19;6.37;7.24;3.13;32.64833187;66.07627013;1.843545601;Baixo;Medio;Baixo
444;5207808;FIRMINÓPOLIS;9909;3087;20.96;94.43;33.17;15.72;47.46;4.26;6.54;3.21;13.65824352;34.40929024;9.983380557;Baixo;Baixo;Baixo
445;5207907;FLORES DE GOIÁS;7514;1447;57.84;62.47;80.44;26.46;76.78;19.62;28.06;5.19;4.790399424;11.93714175;1.700809149;Baixo;Baixo;Baixo
446;5208004;FORMOSA;78651;19783;22.59;89.93;18.75;15.81;61.33;10.2;16.38;3.98;54.69930934;21.87758618;1.406443812;Baixo;Baixo;Baixo
447;5208103;FORMOSO;5589;1618;32.94;80.35;39.8;16.72;63.73;19.42;13.47;3.45;41.59119202;66.5624874;16.06609145;Baixo;Medio;Baixo
448;5208152;GAMELEIRA DE GOIÁS;0;0;0;0;0;0;0;0;0;0;13.49759088;24.45961448;3.727848557;Baixo;Baixo;Baixo
449;5208301;DIVINÓPOLIS DE GOIÁS;5172;1280;26.25;72.66;34.61;28.28;71.44;12.91;13.98;4.04;7.115569513;56.07203723;31.26696785;Baixo;Baixo;Medio
450;5208400;GOIANÁPOLIS;10671;2812;28.24;97.51;11.06;18.75;65.19;2.71;15.33;3.79;21.14840515;46.44325568;1.270373661;Baixo;Baixo;Baixo
451;5208509;GOIANDIRA;4967;1536;16.6;92.45;18.82;11.96;39.95;5.98;5.27;3.23;221.232156;58.16358177;2.442736571;Medio;Baixo;Baixo
452;5208608;GOIANÉSIA;49160;13693;32.99;62;9.56;15.98;46.71;4.17;7.3;3.59;32.80403324;113.7750118;4.20289823;Baixo;Medio;Baixo
453;5208707;GOIÂNIA;1093007;313708;12.59;19.26;1.23;7.35;41.7;2.56;6.26;3.48;510.446452;74.34965597;3.158255803;Medio;Medio;Baixo
454;5208806;GOIANIRA;18719;5242;43.59;88.82;12.86;15.54;50.19;5.46;13.3;3.57;132.6875846;110.1591144;0.759128572;Medio;Medio;Baixo
455;5208905;GOIÁS;27120;7855;28.21;67.32;32.18;17.32;58.43;3.91;6.93;3.45;74.8490357;109.8294061;7.525172235;Baixo;Medio;Baixo
456;5209101;GOIATUBA;31130;9395;32.58;81.35;13.44;12.74;35.67;3.41;2.9;3.31;13.93149074;9.562340536;15.65401354;Baixo;Baixo;Baixo
457;5209150;GOUVELÂNDIA;4009;1242;42.67;88.65;48.55;17.67;58.59;6.51;2.98;3.23;9.136366859;19.17652322;2.839198359;Baixo;Baixo;Baixo
458;5209200;GUAPÓ;13863;3756;30.4;92.73;37.65;17.14;46.33;4.68;4.02;3.69;253.8334668;214.3506929;13.65653084;Medio;Alto;Baixo
459;5209291;GUARAÍTA;2794;842;52.97;71.73;53.33;17.8;50.97;9.03;11.16;3.32;12.74335121;23.6516891;3.588581385;Baixo;Baixo;Baixo
460;5209408;GUARANI DE GOIÁS;4678;1096;46.17;54.47;61.41;31.61;62.35;15.93;24.18;4.27;91.45099011;32.08924201;50.23789736;Baixo;Baixo;Alto
461;5209457;GUARINOS;2844;807;43;65.8;58.12;18.8;66.33;17.8;16.36;3.52;12.99251658;43.69195151;3.635189207;Baixo;Baixo;Baixo
462;5209606;HEITORAÍ;3445;925;27.35;76.86;39.14;16.28;55.91;5.86;6.05;3.72;10.32880332;123.8126918;3.103538305;Baixo;Alto;Baixo
463;5209705;HIDROLÂNDIA;13086;3697;48.55;89.75;43.06;15.88;30.92;2.12;4.87;3.54;237.3302228;40.54551909;1.102557654;Medio;Baixo;Baixo
464;5209804;HIDROLINA;4548;1329;39.88;82.24;51.92;16.56;63.97;7.04;8.28;3.42;135.7337417;61.94621342;2.616775481;Medio;Baixo;Baixo
465;5209903;IACIARA;11295;2656;31.36;85.32;41.91;24.17;76.38;14.36;21.23;4.25;2974.803379;16.12940453;8.866223704;Alto;Baixo;Baixo
466;5209937;INACIOLÂNDIA;5239;1566;30.52;95.98;27.59;23.32;51.15;7.29;8.68;3.35;43.40761253;15.94901466;2.320856862;Baixo;Baixo;Baixo
467;5209952;INDIARA;11816;3382;23.74;92.64;21.94;16.69;52.14;4.89;7.24;3.49;3.142734879;22.36172526;1.179545161;Baixo;Baixo;Baixo
468;5210000;INHUMAS;43897;12520;26.05;62.57;8.99;13.73;45.53;3.72;6.76;3.51;70.09212773;122.0628137;0.350797421;Baixo;Alto;Baixo
469;5210109;IPAMERI;22628;6814;21.28;40.78;19.99;12.86;39.4;1.75;3.11;3.32;45.10615958;16.76241613;0.661961254;Baixo;Baixo;Baixo
470;5210158;IPIRANGA DE GOIÁS;0;0;0;0;0;0;0;0;0;0;12.72231814;23.62859809;3.584619364;Baixo;Baixo;Baixo
471;5210208;IPORÁ;31300;9620;15.53;95.23;14.8;13.94;39.07;4.67;6.34;3.25;32.7632239;95.32325811;12.53802042;Baixo;Medio;Baixo
472;5210307;ISRAELÂNDIA;3004;930;30.11;92.69;44.84;18.7;63.42;4.43;4.09;3.23;12.12971843;79.89735536;3.471180226;Baixo;Medio;Baixo
473;5210406;ITABERAÍ;27879;7943;32.07;90.94;26.84;18.21;51;3.81;5.6;3.51;25.95982726;95.64103213;0.542051649;Baixo;Medio;Baixo
474;5210562;ITAGUARI;4385;1362;37.89;74.74;26.73;20;53.25;9.17;4.04;3.22;8.505279871;33.36827563;2.691841438;Baixo;Baixo;Baixo
475;5210604;ITAGUARU;5696;1682;23.72;79.13;27.59;15.19;53.07;6.06;8.98;3.39;40.69017593;27.7848077;2.205156472;Baixo;Baixo;Baixo
